WARN 2012-12-18 12:02:32,143 [com.fortify.server.configuration.ConfigurationMain] - Unconfigured property file found: AMConfig.properties
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:65)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:89)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
	at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:621)
	at com.fortify.manager.BLL.impl.SeedManagerImpl$$EnhancerByCGLIB$$253b92d0.batchSeed(<generated>)
	at com.fortify.server.configuration.db.Seed.configureDB(Seed.java:107)
	at com.fortify.server.configuration.db.Seed.main(Seed.java:66)
INFO 2012-12-18 12:35:18,660 [com.fortify.server.configuration.db.DBUtil] - Unable to parse the file, make sure this is a valid project template.


ERROR 2012-12-18 12:35:18,710 [com.fortify.server.configuration.db.DBUtil] - Error seeding db


ERROR 2012-12-18 12:35:18,710 [com.fortify.server.configuration.db.DBUtil] - 

